"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-20","0.00","96","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-21","0.00","95","78"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-22","0.00","96","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-23","0.00","96","78"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-24","0.00","96","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-25","0.00","97","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-26","0.08","92","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-27","1.50","96","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-28","0.00","92","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-29","0.00","93","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-06-30","0.26","88","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-01","0.00","92","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-02","0.00","95","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-03","0.00","94","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-04","0.00","92","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-05","0.13","86","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-06","0.56","92","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-07","0.00","92","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-08","0.00","95","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-09","0.00","94","78"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-10","0.00","94","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-11","0.00","91","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-12","0.21","88","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-13","0.00","91","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-14","0.00","88","66"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-15","0.00","88","69"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-16","0.40","78","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-17","0.00","87","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-18","0.06","87","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-19","0.00","88","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-20","0.01","87","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-21","0.00","89","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-22","0.00","92","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-23","0.48","85","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-24","0.00","91","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-25","0.00","93","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-26","0.00","93","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-27","0.00","94","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-28","0.00","94","78"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-29","0.00","94","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-30","0.17","93","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-07-31","0.05","91","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-01","0.00","92","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-02","0.05","88","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-03","0.00","94","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-04","0.00","96","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-05","0.01","95","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-06","0.00","97","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-07","0.00","90","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-08","0.00","89","72"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-09","0.00","93","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-10","0.22","92","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-11","0.00","95","72"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-12","0.00","91","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-13","0.00","93","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-14","0.00","92","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-15","0.00","93","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-16","0.00","94","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-17","0.00","95","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-18","0.01","94","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-19","0.02","95","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-20","0.00","95","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-21","0.00","95","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-22","0.12","92","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-23","0.10","89","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1990-08-24","0.00","96","75"
