"","MONTH","PRCP","TMAX","TMIN","TAVG","Pneumonia_and_Flu_Deaths","All_Deaths"
"324","1988-12",1.17,66.3428571428571,47.2571428571429,56.8,80,2711
"325","1989-01",5.44,66.25,49.7142857142857,57.9821428571428,30,1055
"326","1989-02",1.51,60.25,46.3571428571429,53.3035714285714,42,1369
"327","1989-03",1.7,68.9642857142857,49.7142857142857,59.3392857142857,46,1288
"328","1989-04",1.33,78.1714285714286,61.2,69.6857142857143,45,1693
"329","1989-05",6.68,84.9285714285714,69.3928571428572,77.1607142857143,29,1250
"330","1989-06",8.99,88.3928571428572,73.0357142857143,80.7142857142857,25,1409
"331","1989-07",10.55,87.9428571428571,75.1714285714286,81.5571428571429,19,1396
"332","1989-08",9.94,88.9285714285714,74.3571428571429,81.6428571428572,23,1424
"333","1989-09",0.65,87.7714285714286,71.3142857142857,79.5428571428571,27,1430
"334","1989-10",0.16,82.25,61.3571428571428,71.8035714285714,18,1074
"335","1989-11",4.93,73.5,56.4642857142857,64.9821428571428,21,1323
"336","1989-12",1.26,57.7428571428571,38.5142857142857,48.1285714285714,78,3297
"337","1990-01",2.68,65.7142857142857,52.0357142857143,58.875,72,2936
"338","1990-02",3.6,68.25,51.5357142857143,59.8928571428572,72,2936
"339","1990-03",5.61,71.7428571428571,56.2,63.9714285714286,90,3670
"340","1990-04",4.37,77.25,61.1071428571429,69.1785714285714,72,2936
"341","1990-05",3.76,84.0357142857143,70.3571428571428,77.1964285714286,72,2936
"342","1990-06",2.1,93.0857142857143,75.9714285714286,84.5285714285714,90,3670
"343","1990-07",1.85,90.3571428571429,74.8214285714286,82.5892857142857,72,2936
"344","1990-08",0.75,93.25,75.1428571428571,84.1964285714286,72,2936
"345","1990-09",6.05,90.0285714285714,73.3714285714286,81.7,90,3670
"346","1990-10",2.83,80.4642857142857,60.3214285714285,70.3928571428571,72,2936
"347","1990-11",2.87,74.9642857142857,53.8214285714286,64.3928571428572,81,2407
"348","1990-12",2.87,66.6,48.7142857142857,57.6571428571428,139,1723
"349","1991-01",9.48,57.2857142857143,42.8571428571428,50.0714285714286,142,1407
"350","1991-02",5.36,67.0357142857143,50.1785714285714,58.6071428571428,143,1251
"351","1991-03",2.38,72.3714285714286,55.6857142857143,64.0285714285714,182,1908
"352","1991-04",10.25,79.25,65.5714285714286,72.4107142857143,105,1256
"353","1991-05",7.65,84.5357142857143,70.2142857142857,77.375,109,1335
"354","1991-06",11.76,89.5714285714286,74.3428571428571,81.9571428571429,132,1726
"355","1991-07",1.42,92.1785714285714,76.6071428571428,84.3928571428572,107,1375
"356","1991-08",2.84,92.4857142857143,76.5428571428571,84.5142857142857,91,1180
"357","1991-09",8.53,86.9642857142857,71.6428571428572,79.3035714285714,109,1349
"358","1991-10",0.01,84.5,64.0357142857143,74.2678571428571,144,1339
"359","1991-11",6.65,70.2285714285714,52.4857142857143,61.3571428571429,140,1686
"360","1991-12",7.03,66.0357142857143,53.5,59.7678571428571,136,1521
"361","1992-01",5.9,61.2142857142857,45.4642857142857,53.3392857142857,149,1555
"362","1992-02",8.9,67.8285714285714,52.5714285714286,60.2,205,1895
"363","1992-03",4.15,74.1785714285714,56.7142857142857,65.4464285714286,172,1533
"364","1992-04",4.51,77.6071428571429,60.5714285714286,69.0892857142857,96,1273
"365","1992-05",7.83,81.9142857142857,65.6285714285714,73.7714285714286,175,1844
"366","1992-06",4.85,90.3928571428572,73.6071428571428,82,112,1426
"367","1992-07",4.64,91.6785714285714,76,83.8392857142857,133,1409
"368","1992-08",3.92,90.1142857142857,73.7428571428571,81.9285714285714,139,1660
"369","1992-09",4.62,88.75,73.2142857142857,80.9821428571429,104,1297
"370","1992-10",1.47,82.9428571428572,62.5428571428571,72.7428571428571,171,1651
"371","1992-11",9.74,66.7857142857143,50,58.3928571428572,101,1292
"372","1992-12",3.92,64.7142857142857,48.25,56.4821428571429,142,1236
"373","1993-01",6.67,64.0857142857143,48.3428571428572,56.2142857142857,200,1977
"374","1993-02",2.23,66.3928571428571,49.3571428571429,57.875,152,1516
"375","1993-03",5.95,69.6428571428571,52.75,61.1964285714286,147,1448
"376","1993-04",3.62,75,57.4642857142857,66.2321428571428,117,1375
"377","1993-05",6.11,81.4571428571428,65.8571428571429,73.6571428571428,172,1870
"378","1993-06",9.03,87.7142857142857,74.5357142857143,81.125,129,1481
"379","1993-07",3.75,92.1714285714286,76.4,84.2857142857143,152,1743
"380","1993-08",1.11,94.25,76.6071428571428,85.4285714285714,111,1276
