"","MONTH","Pneumonia.and.Influenza.Deaths","All.Deaths","PRCP","TAVG","TMAX","TMIN"
"213","1979-09",20,1225,15,77.1,85.3,68.9
"214","1979-10",8,1136,5.87,71.7,83.8,59.5
"215","1979-11",15,1005,1.41,57.4,68.9,45.8
"216","1979-12",32,1603,2.38,53.5,64.5,42.5
"217","1980-01",12,982,7.39,55.4,63.8,47
"218","1980-02",23,1363,1.81,54,64.1,43.8
"219","1980-03",20,1517,4.48,61.4,70.4,52.5
"220","1980-04",30,1251,2.22,66.3,77.2,55.5
"221","1980-05",32,1549,4.69,77.2,85.7,68.6
"222","1980-06",17,1348,1.87,83.3,93.2,73.4
"223","1980-07",12,971,2.28,86.1,96.3,75.8
"224","1980-08",22,1492,0.94,84.6,93.7,75.5
"225","1980-09",27,1286,7.52,82.3,90.8,73.8
"226","1980-10",13,1073,1.65,68.2,79.6,56.8
"227","1980-11",16,1356,3.03,57.9,68.4,47.5
"228","1980-12",23,1365,1.83,54.5,64.7,44.3
"229","1981-01",19,1336,3.56,50.6,61.3,40
"230","1981-02",45,1836,3.19,54.1,64.1,44.2
"231","1981-03",23,1188,1.57,61.5,71.4,51.6
"232","1981-04",22,1237,1.84,73.1,82.1,64.2
"233","1981-05",30,1486,11.13,74.9,83.4,66.4
"234","1981-06",15,1286,15.48,81.6,88.8,74.5
"235","1981-07",12,1162,9.14,83.3,91.8,74.8
"236","1981-08",19,1371,16.01,83.4,91.7,75
"237","1981-09",19,1228,2.26,78.6,87.7,69.6
"238","1981-10",13,1718,12.52,72.1,80.6,63.7
"239","1981-11",14,1090,2.73,64.4,74.7,54.1
"240","1981-12",10,1149,2.72,55.3,64.9,45.7
"241","1982-01",20,1156,2.23,53.7,64.2,43.1
"242","1982-02",35,1804,3.66,52.9,62,43.7
"243","1982-03",20,1446,2.38,64.4,72.8,55.9
"244","1982-04",27,1389,3.48,67.7,75.8,59.5
"245","1982-05",26,2002,6.53,74.9,83.3,66.5
"246","1982-06",18,1243,6.29,81.9,91.4,72.4
"247","1982-07",39,1558,1.51,83.9,93.4,74.5
"248","1982-08",13,1175,4.76,84.4,93.4,75.4
"249","1982-09",26,1261,1.89,80.6,90,71.2
"250","1982-10",49,1525,1.7,71,80.5,61.5
"251","1982-11",13,899,7.16,62.1,71.1,53.1
"252","1982-12",30,1165,4.83,56.6,65.3,47.8
"253","1983-01",30,1472,2.59,51.6,60.6,42.7
"254","1983-02",51,1841,6.02,53.8,62.3,45.2
"255","1983-03",53,1506,3.89,59.4,69.9,49
"256","1983-04",38,1680,0.16,65.3,74.5,56.1
"257","1983-05",23,948,5.5,74,82.8,65.2
"258","1983-06",19,969,4.26,79.7,88.2,71.2
"259","1983-07",46,1773,7.37,82.9,90.6,75.1
"260","1983-08",20,1092,7.67,83.3,91.1,75.5
"261","1983-09",18,897,8.73,77.4,85.4,69.3
"262","1983-10",42,2144,3.79,71.6,80.7,62.5
"263","1983-11",20,1032,2.98,64.1,73.3,54.9
"264","1983-12",19,1297,3.53,46.8,55.5,38.2
"265","1984-01",47,1364,4.03,48.5,56.5,40.6
"266","1984-02",51,1675,3.27,56.3,66.3,46.4
"267","1984-03",66,1667,1.93,63.2,72.5,54
"268","1984-04",34,1244,0.2,69.8,80.3,59.3
"269","1984-05",28,1223,3.17,76.6,85.7,67.4
"270","1984-06",28,1484,2.18,79.8,88.6,70.9
"271","1984-07",18,1147,4.82,82.4,91.6,73.3
"272","1984-08",12,1066,7.69,82,90.6,73.4
"273","1984-09",32,1597,5.34,77.4,85.3,69.5
"274","1984-10",29,1210,10.84,74.9,82.4,67.4
"275","1984-11",22,1071,2.73,61.5,71.4,51.7
"276","1984-12",27,1402,3.52,64.8,72.6,57.1
"277","1985-01",38,1136,2.17,48.1,57.3,38.9
"278","1985-02",63,1665,6.94,52.4,60.1,44.7
"279","1985-03",68,1990,5.48,66.6,74,59.3
"280","1985-04",47,1219,0.87,71.6,79.9,63.3
"281","1985-05",32,1286,1.52,77.4,85.9,69
"282","1985-06",36,1373,4.86,81.8,89.6,74
"283","1985-07",25,1172,3.47,81.4,89.7,73.1
"284","1985-08",32,1724,2.37,83.1,92.2,74.1
"285","1985-09",27,1109,5.04,80,87.7,72.4
"286","1985-10",21,1197,4.9,73.2,79.8,66.6
"287","1985-11",33,1473,7.27,67.3,74.8,59.8
"288","1985-12",22,960,2.65,52.7,61.6,43.7
"289","1986-01",18,942,1.11,56.3,65.7,46.8
"290","1986-02",28,1134,2.72,61.3,70.4,52.2
"291","1986-03",84,2377,1.5,65,75.2,54.7
"292","1986-04",48,1591,1.13,71.7,80,63.2
"293","1986-05",42,1580,3.85,75.7,83.2,68.1
"294","1986-06",20,1032,10.09,81.6,89.1,74.2
"295","1986-07",26,1372,0.23,85,94.4,75.6
"296","1986-08",37,1544,5.56,83.2,91.3,75.1
"297","1986-09",28,1030,5.53,82.1,88.4,75.9
"298","1986-10",30,1250,5.98,70.3,78,62.7
"299","1986-11",38,1488,9.48,63.5,70.1,57
"300","1986-12",28,1192,6.64,53.2,59.3,47.1
"301","1987-01",70,1686,2.83,52.1,60.7,43.4
"302","1987-02",39,1295,4.45,56.8,64.5,49.2
"303","1987-03",39,1491,0.41,60.5,71,50.2
"304","1987-04",22,1095,0.06,68.4,81.2,55.5
"305","1987-05",45,1587,6.18,76.8,84.1,69.6
"306","1987-06",22,1282,9.31,81.4,88.4,74.5
"307","1987-07",19,901,8.66,83.6,91.1,76.2
"308","1987-08",41,1514,3.15,85.2,93.8,76.6
"309","1987-09",36,1337,1.89,79.3,87.9,70.6
"310","1987-10",26,1314,0.75,69.6,79.7,59.5
"311","1987-11",26,1327,3.17,61.4,71,51.7
"312","1987-12",41,1724,3.28,56.8,65,48.6
"313","1988-01",51,1285,1.14,49.3,57.9,40.6
"314","1988-02",90,1688,0.63,54.8,63.6,45.9
"315","1988-03",42,1332,5.02,61.4,70.8,52.1
"316","1988-04",52,1702,2.2,68.3,78.2,58.4
"317","1988-05",26,1428,0.49,74.3,83.7,64.9
"318","1988-06",35,1108,2.63,80.3,89.3,71.2
"319","1988-07",41,1566,3.81,82.8,90.6,75
"320","1988-08",32,1420,1.17,85,93.5,76.5
"321","1988-09",22,1136,4.32,80.2,88.2,72.1
"322","1988-10",49,1653,2.94,72.2,81.2,63.2
"323","1988-11",27,1009,1.12,66.4,76.1,56.7
"324","1988-12",80,2711,1.17,56.9,66.2,47.6
"325","1989-01",30,1055,6.36,58.8,66.6,51
"326","1989-02",42,1369,0.61,53.5,60.2,46.7
"327","1989-03",46,1288,2.07,61.4,71,51.8
"328","1989-04",45,1693,1.43,69.4,77.9,60.9
"329","1989-05",29,1250,6.21,77.9,85.8,70
"330","1989-06",25,1409,17.35,79.9,86.5,73.3
"331","1989-07",19,1396,2.28,82.5,89.6,75.4
"332","1989-08",23,1424,9.95,82.1,89.3,74.8
"333","1989-09",27,1430,0.56,78.4,86.9,69.8
"334","1989-10",18,1074,3.4,71.3,81.6,61
"335","1989-11",21,1323,2.53,64.4,72.6,56.2
"336","1989-12",78,3297,0.59,45.7,55.6,35.9
"337","1990-01",72,2936,2.27,53.15,62.3,44.05
"338","1990-02",72,2936,3.95,60.6,69,52.2
"339","1990-03",90,3670,4.47,64.1,71.7,56.5
"340","1990-04",72,2936,4.37,69.8,77.8,61.9
"341","1990-05",72,2936,3.89,77.8,84.8,70.8
"342","1990-06",90,3670,1.97,85,93.7,76.2
"343","1990-07",72,2936,2.07,82.7,90.6,74.7
"344","1990-08",72,2936,1.69,84.8,94.3,75.4
"345","1990-09",90,3670,4.9,80.5,88.4,72.6
"346","1990-10",72,2936,2.83,69.5,79.8,59.3
"347","1990-11",81,2407,3.04,64.5,74.2,54.7
"348","1990-12",139,1723,2.74,55,64.6,45.5
"349","1991-01",142,1407,9.59,51.4,58.4,44.5
"350","1991-02",143,1251,5.76,58.5,66.9,50.1
"351","1991-03",182,1908,1.85,65.4,73.9,56.8
"352","1991-04",105,1256,10.25,73.3,80.1,66.4
"353","1991-05",109,1335,8.57,78.4,85.6,71.3
"354","1991-06",132,1726,10.85,82.1,89.6,74.5
"355","1991-07",107,1375,2.13,84.4,92.4,76.4
"356","1991-08",91,1180,2.13,84.5,92.3,76.6
"357","1991-09",109,1349,8.54,79.1,86.9,71.2
"358","1991-10",144,1339,2.62,74,84.1,63.9
"359","1991-11",140,1686,4.04,59.3,68.1,50.6
"360","1991-12",136,1521,7.03,59.2,65.5,52.9
"361","1992-01",149,1555,7.31,54.1,61.4,46.8
"362","1992-02",205,1895,7.51,60.7,69,52.4
"363","1992-03",172,1533,4.15,65.4,74.2,56.7
"364","1992-04",96,1273,4.64,69.6,78.2,61
"365","1992-05",175,1844,7.86,74.3,82.1,66.4
"366","1992-06",112,1426,5.58,82.6,91.3,74
"367","1992-07",133,1409,4.51,83.8,91.5,76.1
"368","1992-08",139,1660,3.21,81.3,89.7,72.9
"369","1992-09",104,1297,4.59,80.2,88,72.4
"370","1992-10",171,1651,1.47,72.5,82.8,62.3
"371","1992-11",101,1292,9.74,58.1,66.5,49.6
"372","1992-12",142,1236,3.93,58,66,49.9
"373","1993-01",200,1977,6.67,54.8,62.9,46.7
"374","1993-02",152,1516,2.43,58,66.3,49.7
"375","1993-03",147,1448,5.77,62.5,71,54
"376","1993-04",117,1375,5.19,66.8,75.5,58.2
"377","1993-05",172,1870,4.78,74.4,82.3,66.5
"378","1993-06",129,1481,8.93,81.6,88.1,75
"379","1993-07",152,1743,3.59,84.4,92.4,76.4
"380","1993-08",111,1276,1.11,85.2,93.9,76.5
"381","1993-09",123,1306,1.55,81,90,71.9
"382","1993-10",138,1781,11.61,70.6,79.6,61.7
"383","1993-11",112,1265,7.13,58.3,67.2,49.4
"384","1993-12",153,1466,2.32,56.1,64.3,47.9
"385","1994-01",213,2130,2.62,53.9,62.2,45.6
"386","1994-02",162,1463,1.09,56.4,65,47.8
"387","1994-03",161,1487,1.82,63.6,73.1,54.2
"388","1994-04",178,1883,4.13,69.6,78,61.3
"389","1994-05",110,1548,7.67,75.6,83.9,67.3
"390","1994-06",97,1350,6.85,81.7,89.2,74.2
"391","1994-07",131,1816,0.37,84.1,93.1,75.1
"392","1994-08",130,1399,3.82,82.3,90.5,74.2
"393","1994-09",101,1344,1.85,78.4,87.7,69
"394","1994-10",159,1591,19.39,72.1,80.6,63.6
"395","1994-11",107,1206,0.32,66.5,75,57.9
"396","1994-12",170,1889,8.73,58.1,65.8,50.3
"397","1995-01",146,1466,6.13,54.4,63.2,45.6
"398","1995-02",185,1559,2.74,58.9,68.8,49
"399","1995-03",146,1343,5.68,62.7,70.7,54.6
"400","1995-04",150,1787,3.2,68.1,77.8,58.4
"401","1995-05",89,1115,7.35,77.3,85.2,69.4
"402","1995-06",98,1309,3.83,80.1,88.9,71.4
"403","1995-07",111,1702,4.1,84,92.5,75.5
"404","1995-08",83,1389,2.15,84.5,92.6,76.3
"405","1995-09",116,1489,4.58,81.6,90.9,72.3
"406","1995-10",113,1357,2.67,71,80.7,61.2
"407","1995-11",72,1071,4.59,62.3,72.2,52.3
"408","1995-12",160,1864,6.5,57.2,65.5,48.9
"409","1996-01",136,1481,1.76,52.4,63.3,41.5
"410","1996-02",149,1554,1.18,58.8,68.7,48.8
"411","1996-03",154,1901,0.26,57.9,68.2,47.5
"412","1996-04",148,1618,1.62,68.7,79.4,58
"413","1996-05",133,1463,0.31,79.6,88,71.2
"414","1996-06",134,1701,9.31,81.6,90.4,72.9
"415","1996-07",90,1382,0.16,85,94,76.1
"416","1996-08",151,1749,8.64,82.4,90.3,74.5
"417","1996-09",114,1262,6.99,79.1,87.2,71.1
"418","1996-10",128,1493,2.25,72.2,80.7,63.7
"419","1996-11",147,1656,1.54,63.7,73.3,54.1
"420","1996-12",127,1418,2.81,58.9,68,49.7
"421","1997-01",157,1561,6.52,52.4,60,44.7
"422","1997-02",128,1702,6.76,57.1,64.5,49.6
"423","1997-03",179,1863,6.06,65.8,73.9,57.7
"424","1997-04",98,1423,9.02,65.1,73.4,56.8
"425","1997-05",118,1596,8.61,75,83,67
"426","1997-06",121,1483,6.29,81.3,89.6,73.1
"427","1997-07",91,1432,2.52,85.3,93.9,76.6
"428","1997-08",128,1787,1.97,84.6,93.3,76
"429","1997-09",91,1266,9.26,80.8,89.6,72
"430","1997-10",95,1514,10.38,71,79,63.1
"431","1997-11",143,1732,2.17,59.3,67.4,51
"432","1997-12",120,1450,7.25,53.9,63.8,44.1
"433","1998-01",224,2143,7.48,60.3,69.5,51.1
"434","1998-02",147,1740,4.63,57.6,66.3,49
"435","1998-03",130,1771,2.78,62.2,71.1,53.3
"436","1998-04",123,1447,0.76,69.3,79.1,59.4
"437","1998-05",149,1776,0.01,81.1,91.2,71
"438","1998-06",100,1439,2.49,86.2,95,77.4
"439","1998-07",96,1374,2.21,86.6,96.7,76.6
"440","1998-08",125,1887,4.31,85.4,94,76.8
"441","1998-09",100,1406,11.33,82.9,90.1,75.6
"442","1998-10",132,1729,9.28,74,82.1,65.9
"443","1998-11",86,1284,7.43,65.4,73,57.7
"444","1998-12",124,1338,3.91,56.1,64.5,47.6
"445","1999-01",148,1944,4.13,58.3,68.2,48.5
"446","1999-02",134,1707,1.11,63.6,72.9,54.2
"447","1999-03",139,1599,3.48,64.5,72.9,56
"448","1999-04",137,1730,0.77,73.1,82,64.3
"449","1999-05",158,1866,6.41,77.3,86,68.5
"450","1999-06",103,1445,6.76,81.3,88.1,74.6
"451","1999-07",133,1741,3.77,83.1,90.9,75.4
"452","1999-08",106,1444,0.68,86.4,96.1,76.7
"453","1999-09",142,1439,1.54,79.9,90.2,69.5
"454","1999-10",158,1774,0.66,71.1,82.1,60.2
"455","1999-11",111,1355,1.48,64.5,76.4,52.7
"456","1999-12",152,1621,3.9,56,67,45
"457","2000-01",155,1923,2.15,58.7,67.8,49.7
"458","2000-02",160,1588,1.44,63.1,72.2,54
"459","2000-03",161,1735,1.75,67.7,76.6,58.9
"460","2000-04",118,1463,4.6,70.2,79.6,60.7
"461","2000-05",97,1413,6.53,78.7,86.3,71.2
"462","2000-06",101,1296,2.4,82.3,90.2,74.3
"463","2000-07",148,1879,1.54,85.2,95.8,74.5
"464","2000-08",104,1619,2.1,85.3,95.4,75.1
"465","2000-09",113,1795,5.09,80.5,90.4,70.5
"466","2000-10",123,1481,5.71,72.3,80,64.6
"467","2000-11",91,1406,9.83,59.7,67.9,51.6
"468","2000-12",152,2079,2.67,49.4,57.6,41.2
"469","2001-01",129,1552,4.54,50.8,59.1,42.4
"470","2001-02",132,1596,0.49,60.6,68.6,52.7
"471","2001-03",146,1890,6.47,58.7,67.7,49.6
"472","2001-04",118,1437,0.46,72.7,80.5,64.9
"473","2001-05",47,1050,3.32,77.1,86.3,67.8
"474","2001-06",97,1735,23.2,81,89.1,73
"475","2001-07",83,1511,3.01,83.8,92,75.6
"476","2001-08",102,1466,12.03,83.5,91.6,75.3
"477","2001-09",101,1835,8.82,78.3,86.4,70.2
"478","2001-10",91,1414,6.17,69.4,79,59.7
"479","2001-11",66,1515,5.79,65.4,75,55.8
"480","2001-12",115,1842,7.38,57.9,66.5,49.4
"481","2002-01",50,762,2.06,56.7,66.8,46.7
"482","2002-02",106,1490,1.26,53.7,63.8,43.6
"483","2002-03",155,2041,3.5,62.9,72.3,53.5
"484","2002-04",117,1470,5.39,73.3,80.9,65.6
"485","2002-05",108,1278,4.8,76.8,84.8,68.8
"486","2002-06",144,1855,3.67,81,88.7,73.4
"487","2002-07",99,1356,8.55,83.2,90.9,75.5
