"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00116616","PARK FOREST, IL US","1962-08-06","0.29","80","68"
"USC00116616","PARK FOREST, IL US","1962-08-07","0.00","90","68"
"USC00116616","PARK FOREST, IL US","1962-08-08","0.00","88","66"
"USC00116616","PARK FOREST, IL US","1962-08-09","0.00","74","62"
"USC00116616","PARK FOREST, IL US","1962-08-10","0.00","80","57"
"USC00116616","PARK FOREST, IL US","1962-08-11","0.00","81","54"
"USC00116616","PARK FOREST, IL US","1962-08-12","0.00","83","64"
"USC00116616","PARK FOREST, IL US","1962-08-13","0.00","78","63"
"USC00116616","PARK FOREST, IL US","1962-08-14","0.00","72","57"
"USC00116616","PARK FOREST, IL US","1962-08-15","0.00","72","49"
"USC00116616","PARK FOREST, IL US","1962-08-16","0.00","85","62"
"USC00116616","PARK FOREST, IL US","1962-08-17","0.00","81","58"
"USC00116616","PARK FOREST, IL US","1962-08-18","0.00","83","52"
"USC00116616","PARK FOREST, IL US","1962-08-19","0.00","90","66"
"USC00116616","PARK FOREST, IL US","1962-08-20","0.00","96","68"
"USC00116616","PARK FOREST, IL US","1962-08-21","0.00","89","66"
"USC00116616","PARK FOREST, IL US","1962-08-22","0.00","92","66"
"USC00116616","PARK FOREST, IL US","1962-08-23","0.00","93","68"
"USC00116616","PARK FOREST, IL US","1962-08-24","0.48","92","71"
"USC00116616","PARK FOREST, IL US","1962-08-25","0.40","72","62"
"USC00116616","PARK FOREST, IL US","1962-08-26","0.00","80","59"
"USC00116616","PARK FOREST, IL US","1962-08-27","0.00","85","59"
"USC00116616","PARK FOREST, IL US","1962-08-28","0.00","86","63"
"USC00116616","PARK FOREST, IL US","1962-08-29","0.00","88","64"
"USC00116616","PARK FOREST, IL US","1962-08-30","0.00","90","67"
"USC00116616","PARK FOREST, IL US","1962-08-31","0.00","86","68"
"USC00116616","PARK FOREST, IL US","1962-09-01","0.00","77","63"
"USC00116616","PARK FOREST, IL US","1962-09-02","0.00","80","57"
"USC00116616","PARK FOREST, IL US","1962-09-03","0.00","82","65"
"USC00116616","PARK FOREST, IL US","1962-09-04","0.07","85","59"
"USC00116616","PARK FOREST, IL US","1962-09-05","0.00","65","46"
"USC00116616","PARK FOREST, IL US","1962-09-06","0.00","70","42"
"USC00116616","PARK FOREST, IL US","1962-09-07","0.00","76","51"
"USC00116616","PARK FOREST, IL US","1962-09-08","0.08","78","55"
"USC00116616","PARK FOREST, IL US","1962-09-09","0.00","85","68"
"USC00116616","PARK FOREST, IL US","1962-09-10","0.14","73","55"
"USC00116616","PARK FOREST, IL US","1962-09-11","0.00","81","46"
"USC00116616","PARK FOREST, IL US","1962-09-12","0.00","91","64"
"USC00116616","PARK FOREST, IL US","1962-09-13","0.00","93","66"
"USC00116616","PARK FOREST, IL US","1962-09-14","0.00","80","61"
"USC00116616","PARK FOREST, IL US","1962-09-15","0.00","82","56"
"USC00116616","PARK FOREST, IL US","1962-09-16","0.00","85","61"
"USC00116616","PARK FOREST, IL US","1962-09-17","0.00","72","49"
"USC00116616","PARK FOREST, IL US","1962-09-18","0.00","75","41"
"USC00116616","PARK FOREST, IL US","1962-09-19","0.00","65","47"
"USC00116616","PARK FOREST, IL US","1962-09-20","0.00","60","42"
"USC00116616","PARK FOREST, IL US","1962-09-21","0.00","69","40"
"USC00116616","PARK FOREST, IL US","1962-09-22","0.05","66","46"
"USC00116616","PARK FOREST, IL US","1962-09-23","0.00","72","44"
"USC00116616","PARK FOREST, IL US","1962-09-24","0.09","69","52"
"USC00116616","PARK FOREST, IL US","1962-09-25","0.00","62","48"
"USC00116616","PARK FOREST, IL US","1962-09-26","0.00","70","45"
"USC00116616","PARK FOREST, IL US","1962-09-27","0.16","63","47"
"USC00116616","PARK FOREST, IL US","1962-09-28","0.00","62","40"
"USC00116616","PARK FOREST, IL US","1962-09-29","0.00","66","39"
"USC00116616","PARK FOREST, IL US","1962-09-30","0.00","71","46"
"USC00116616","PARK FOREST, IL US","1962-10-01","0.03","73","56"
"USC00116616","PARK FOREST, IL US","1962-10-02","0.04","68","58"
"USC00116616","PARK FOREST, IL US","1962-10-03","0.00","70","57"
"USC00116616","PARK FOREST, IL US","1962-10-04","0.10","68","55"
"USC00116616","PARK FOREST, IL US","1962-10-05","0.20","69","50"
"USC00116616","PARK FOREST, IL US","1962-10-06","0.02","70","47"
"USC00116616","PARK FOREST, IL US","1962-10-07","0.60","68","57"
"USC00116616","PARK FOREST, IL US","1962-10-08","0.02","65","58"
"USC00116616","PARK FOREST, IL US","1962-10-09","0.00","70","50"
"USC00116616","PARK FOREST, IL US","1962-10-10","0.00","85","55"
"USC00116616","PARK FOREST, IL US","1962-10-11","0.00","86","63"
"USC00116616","PARK FOREST, IL US","1962-10-12","0.00","75","55"
"USC00116616","PARK FOREST, IL US","1962-10-13","0.00","79","51"
"USC00116616","PARK FOREST, IL US","1962-10-14","0.00","83","63"
"USC00116616","PARK FOREST, IL US","1962-10-15","0.00","85","64"
"USC00116616","PARK FOREST, IL US","1962-10-16","0.00","72","44"
"USC00116616","PARK FOREST, IL US","1962-10-17","0.00","64","39"
"USC00116616","PARK FOREST, IL US","1962-10-18","0.00","71","49"
"USC00116616","PARK FOREST, IL US","1962-10-19","0.14","76","48"
"USC00116616","PARK FOREST, IL US","1962-10-20","0.90","62","50"
"USC00116616","PARK FOREST, IL US","1962-10-21","0.02","67","38"
"USC00116616","PARK FOREST, IL US","1962-10-22","0.00","66","42"
"USC00116616","PARK FOREST, IL US","1962-10-23","0.00","46","32"
"USC00116616","PARK FOREST, IL US","1962-10-24","0.00","45","26"
"USC00116616","PARK FOREST, IL US","1962-10-25","0.06","35","21"
"USC00116616","PARK FOREST, IL US","1962-10-26","0.00","42","18"
"USC00116616","PARK FOREST, IL US","1962-10-27","0.00","63","34"
"USC00116616","PARK FOREST, IL US","1962-10-28","0.00","65","44"
"USC00116616","PARK FOREST, IL US","1962-10-29","0.00","50","40"
"USC00116616","PARK FOREST, IL US","1962-10-30","0.00","58","40"
"USC00116616","PARK FOREST, IL US","1962-10-31","0.00","48","33"
"USC00116616","PARK FOREST, IL US","1962-11-01","0.00","48","31"
"USC00116616","PARK FOREST, IL US","1962-11-02","0.00","51","30"
"USC00116616","PARK FOREST, IL US","1962-11-03","0.04","48","31"
"USC00116616","PARK FOREST, IL US","1962-11-04","0.22","39","31"
"USC00116616","PARK FOREST, IL US","1962-11-05","0.12","43","33"
